day,time,address,district,accident_types,suspect_vehicle,victim_vehicle,lat,long
Thursday,Evening,insinyur sutami,tamalanrea,T,R2,NOV,-5.0811953,119.5000284
Sunday,Morning,tol reformasi,tamalanrea,TK,TR,R4,-5.1100702,119.4431215
Sunday,Afternoon,perintis kemerdekaan,biringkanaya,TK,R2,R4,-5.0757471,119.5229217
Friday,Night,jenderal sudirman,ujung pandang,T,R2,NOV,-5.1330957,119.4136579
Sunday,Afternoon,tanjung alang,mamajang,TM,R2,NOV,-5.1735696,119.408549
Monday,Night,urip sumuharjo,panakkukang,T,R4,NOV,-5.1348243,119.4316818
Saturday,Evening,lamadukelleng,ujung pandang,TL,R2,R2,-5.1414467,119.4107642
Friday,Afternoon,pettarani,panakkukang,TK,R4,R2,-5.1366409,119.4400406
Monday,Night,sungai saddang baru,makassar,TL,R2,R2,-5.1494361,119.4323848
Sunday,Afternoon,gagak,mariso,OC,R2,NOV,-5.1607981,119.4110046
Monday,Evening,boulevard,panakkukang,TL,R4,R4,-5.1570791,119.447818
Monday,Evening,urip sumuharjo,panakkukang,TK,R2,R2,-5.1348243,119.4316818
Saturday,Morning,pettarani,tamalate,OC,R4,NOV,-5.1738401,119.4313806
Monday,Evening,tinumbu,bontoala,TM,R2,NOV,-5.1195488,119.4206733
Tuesday,Morning,kecaping,manggala,OC,R2,NOV,-5.173316,119.5061594
Tuesday,Morning,urip sumuharjo,panakkukang,OC,R2,NOV,-5.1348243,119.4316818
Wednesday,Morning,boulevard,panakkukang,TL,R4,NOV,-5.1570791,119.447818
Friday,Morning,tamangapa raya,manggala,OC,R2,NOV,-5.1878951,119.4918248
Monday,Night,urip sumuharjo,panakkukang,OC,R2,NOV,-5.1348243,119.4316818
Saturday,Evening,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1268846,119.5022473
Tuesday,Evening,insinyur sutami,tamalanrea,TK,R4,R2,-5.0811953,119.5000284
Wednesday,Morning,batara bira,biringkanaya,TK,R2,R2,-5.0884975,119.5063692
Wednesday,Morning,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1268846,119.5022473
Wednesday,Morning,tol reformasi,panakkukang,TK,R2,R2,-5.1327865,119.4405628
Tuesday,Morning,borong jambu raya,manggala,OC,TR,NOV,-5.1745192,119.4883637
Sunday,Night,malengkeri,tamalate,OC,R2,NOV,-5.1875239,119.4339559
Tuesday,Afternoon,jenderal sudirman,ujung pandang,TL,R4,R2,-5.1330957,119.4136579
Thursday,Evening,perintis kemerdekaan,biringkanaya,TL,R4,R4,-5.0757471,119.5229217
Thursday,Night,cendrawasih,mariso,TK,R2,R2,-5.155219,119.4137008
Thursday,Evening,sam ratulangi,mariso,TL,R2,NOV,-5.1610298,119.4173875
Wednesday,Morning,veteran utara,makassar,TM,R2,NOV,-5.1457033,119.4248691
Wednesday,Night,perintis kemerdekaan,biringkanaya,TK,R2,R4,-5.0757471,119.5229217
Friday,Afternoon,kijang,makassar,TK,R2,R2,-5.1481118,119.4198203
Monday,Evening,andi mappaodang,tamalate,OC,R2,NOV,-5.1732205,119.4158686
Friday,Night,pajaiang,biringkanaya,OC,R2,NOV,-5.1048027,119.5252166
Thursday,Night,dokter leimena,panakkukang,OC,R4,NOV,-5.1499481,119.4710365
Wednesday,Evening,malengkeri,tamalate,TL,R2,R2,-5.1875239,119.4339559
Thursday,Evening,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1268846,119.5022473
Friday,Afternoon,pintu bandar udara internasional sultan hasanuddin,biringkanaya,TK,R4,R2,-5.0684211,119.5268488
Friday,Evening,paccerakkang,biringkanaya,OC,R2,NOV,-5.1239434,119.5224673
Monday,Evening,datuk ribandang,tallo,OC,R2,NOV,-5.1288411,119.4304187
Saturday,Morning,kapasa raya,tamalanrea,OC,R2,NOV,-5.1029771,119.4940907
Saturday,Afternoon,pattimura,ujung pandang,OC,R2,NOV,-5.1361062,119.4066711
Friday,Morning,sungai saddang,makassar,TK,R4,R2,-5.146825,119.4249085
Friday,Afternoon,urip sumuharjo,panakkukang,TK,R4,R2,-5.1348243,119.4316818
Sunday,Evening,perintis kemerdekaan 16,tamalanrea,TK,R2,R2,-5.1400001,119.4915801
Friday,Afternoon,perintis kemerdekaan,biringkanaya,T,R2,NOV,-5.0757471,119.5229217
Thursday,Morning,perintis kemerdekaan,biringkanaya,TL,TR,R4,-5.0757471,119.5229217
Sunday,Night,pettarani,rappocini,TK,R4,R4,-5.1521953,119.4374749
Saturday,Evening,jipang raya,rappocini,OC,R2,NOV,-5.1868077,119.4483734
Monday,Afternoon,kapasa raya,tamalanrea,OC,R2,NOV,-5.1029771,119.4940907
Tuesday,Evening,malengkeri,tamalate,TL,R2,R2,-5.1875239,119.4339559
Wednesday,Evening,rajawali,mariso,TK,TR,R2,-5.1487498,119.4096122
Sunday,Night,jenderal ahmad yani,ujung pandang,TK,R2,R4,-5.132958,119.4104713
Wednesday,Evening,manunggal,tamalate,TM,R2,NOV,-5.1688427,119.4035453
Thursday,Morning,jenderal sudirman,ujung pandang,TK,R4,R2,-5.1330957,119.4136579
Tuesday,Evening,perintis kemerdekaan,tamalanrea,TM,R2,NOV,-5.1268846,119.5022473
Friday,Afternoon,perintis kemerdekaan,biringkanaya,TK,R2,R4,-5.0757471,119.5229217
Friday,Afternoon,perintis kemerdekaan,biringkanaya,TL,R4,R2,-5.0757471,119.5229217
Wednesday,Night,perintis kemerdekaan,tamalanrea,TL,R2,R2,-5.1268846,119.5022473
Sunday,Morning,abdullah daeng sirua,panakkukang,TL,R4,R2,-5.1502262,119.4624701
Wednesday,Afternoon,insinyur sutami,tamalanrea,OC,R2,NOV,-5.0811953,119.5000284
Friday,Night,g. batu putih,makassar,TK,M,R2,-5.1468769,119.4185684
Friday,Afternoon,sultan alauddin,tamalate,T,R2,NOV,-5.1682367,119.4209823
Saturday,Evening,perintis kemerdekaan,biringkanaya,TK,R2,R4,-5.0757471,119.5229217
Saturday,Evening,perintis kemerdekaan,biringkanaya,TK,R2,R2,-5.0757471,119.5229217
Sunday,Afternoon,insinyur sutami,tamalanrea,TK,R2,R2,-5.0811953,119.5000284
Sunday,Evening,kapasa raya,tamalanrea,TK,R2,R4,-5.1029771,119.4940907
Sunday,Night,raya kampus unhas,tamalanrea,TL,R4,R2,-5.1306817,119.4908747
Monday,Afternoon,aroepala,rappocini,TK,R2,R4,-5.1722183,119.4529
Saturday,Night,urip sumuharjo,panakkukang,TK,R2,R2,-5.1348243,119.4316818
Monday,Night,barawaja,panakkukang,TL,R4,R2,-5.1357031,119.4402319
Sunday,Evening,pettarani,rappocini,TK,R2,R4,-5.1521953,119.4374749
Wednesday,Afternoon,insinyur sutami,tamalanrea,OC,R2,NOV,-5.0811953,119.5000284
Saturday,Afternoon,pettarani,panakkukang,TK,R4,R4,-5.1366409,119.4400406
Tuesday,Afternoon,pettarani,panakkukang,TK,R4,R4,-5.1366409,119.4400406
Tuesday,Morning,tamangapa raya,manggala,TL,TR,R2,-5.1878951,119.4918248
Saturday,Evening,dangko,tamalate,TL,R2,R2,-5.1820983,119.4150245
Wednesday,Morning,pettarani,panakkukang,TK,R2,R4,-5.1366409,119.4400406
Wednesday,Afternoon,serigala,mamajang,TK,R4,R4,-5.1607129,119.4210329
Tuesday,Afternoon,dokter leimena,panakkukang,OC,R2,NOV,-5.1499481,119.4710365
Thursday,Afternoon,daeng tata raya,tamalate,OC,R2,NOV,-5.1850019,119.423432
Sunday,Morning,jenderal ahmad yani,ujung pandang,TL,R4,R2,-5.132958,119.4104713
Tuesday,Afternoon,bandang,bontoala,OC,R2,NOV,-5.1265716,119.4194415
Friday,Morning,mesjid raya,bontoala,TK,R4,R2,-5.1316682,119.4262745
Friday,Morning,jenderal sudirman,ujung pandang,TK,R4,R2,-5.1330957,119.4136579
Friday,Morning,andi mappaodang,tamalate,TK,R2,R4,-5.1732205,119.4158686
Saturday,Evening,kerung-kerung,makassar,TK,R2,R2,-5.1402076,119.425703
Sunday,Night,jenderal ahmad yani,ujung pandang,TK,R2,Rro,-5.132958,119.4104713
Friday,Evening,perintis kemerdekaan,biringkanaya,TK,R2,R2,-5.0757471,119.5229217
Thursday,Night,metro tanjung bunga,tamalate,OC,TR,NOV,-5.1661576,119.3917443
Thursday,Night,sam ratulangi,makassar,TL,R4,R2,-5.161255,119.4173574
Monday,Evening,rusa,makassar,TL,R4,R2,-5.1502899,119.4217149
Saturday,Evening,pettarani,panakkukang,TK,R2,R4,-5.1366409,119.4400406
Wednesday,Afternoon,letjen hertasning,panakkukang,OC,R2,NOV,-5.1625545,119.4430925
Monday,Evening,pengayoman,panakkukang,TK,R2,R4,-5.1601369,119.4481629
Saturday,Evening,telegraph utama,biringkanaya,TK,R2,R4,-5.13054,119.5149116
Saturday,Evening,perintis kemerdekaan,biringkanaya,TL,R4,R4,-5.0757471,119.5229217
Sunday,Evening,poros perumnas sudiang,biringkanaya,OC,R2,NOV,-5.1014792,119.5314613
Sunday,Afternoon,urip sumuharjo,panakkukang,OC,R2,NOV,-5.1348243,119.4316818
Saturday,Afternoon,monumen emmy saelan,rappocini,TL,R2,NOV,-5.1716927,119.4425634
Friday,Afternoon,cendrawasih,mariso,OC,R2,NOV,-5.155219,119.4137008
Friday,Evening,urip sumuharjo,panakkukang,OC,R2,NOV,-5.1348243,119.4316818
Saturday,Afternoon,pajukukang,tamalate,OC,R2,NOV,-5.2019757,119.3874662
Saturday,Night,datu musseng,ujung pandang,TK,R4,R4,-5.1434702,119.409872
Thursday,Morning,mallombassang,tamalate,TK,R2,R2,-5.1776493,119.4169322
Thursday,Afternoon,jenderal sudirman,ujung pandang,TK,R4,R2,-5.1330957,119.4136579
Wednesday,Morning,cendrawasih,mariso,TK,R2,R2,-5.155219,119.4137008
Wednesday,Afternoon,sam ratulangi,mamajang,TL,R2,NOV,-5.161255,119.4173574
Friday,Night,datu musseng,ujung pandang,TL,R4,R4,-5.1434702,119.409872
Tuesday,Night,antang raya,manggala,TK,R2,R2,-5.1664795,119.478882
Thursday,Evening,muhajirin,tamalate,TK,R4,R4,-5.1863896,119.4323543
Thursday,Evening,batua raya,panakkukang,TL,R4,R4,-5.1496211,119.4605657
Wednesday,Afternoon,daeng tata raya,tamalate,OC,R2,NOV,-5.1850019,119.423432
Thursday,Afternoon,pettarani,rappocini,TL,R4,R4,-5.1521953,119.4374749
Thursday,Morning,perintis kemerdekaan,biringkanaya,TL,R4,R2,-5.0757471,119.5229217
Friday,Morning,kima raya,biringkanaya,TK,R2,R2,-5.1010247,119.5040689
Thursday,Morning,perintis kemerdekaan,biringkanaya,TK,R4,R4,-5.0757471,119.5229217
Friday,Morning,veteran utara,makassar,TK,R4,R2,-5.1457033,119.4248691
Sunday,Night,pelita raya,rappocini,OC,R4,NOV,-5.1528655,119.4341715
Sunday,Night,urip sumuharjo,makassar,OC,R2,NOV,-5.1348243,119.4316818
Friday,Afternoon,laikang,biringkanaya,TK,R2,R2,-5.103716,119.5371947
Friday,Morning,perintis kemerdekaan,tamalanrea,T,R2,NOV,-5.1268846,119.5022473
Friday,Evening,tala' salapang i,rappocini,TL,R2,NOV,-5.1820923,119.4438985
Monday,Evening,profesor abdurrahman basalamah,panakkukang,TK,R2,R2,-5.1471505,119.4492661
Monday,Afternoon,letjen hertasning,rappocini,TK,R2,R4,-5.1630661,119.4444202
Saturday,Morning,veteran selatan,mamajang,TL,R4,R2,-5.1582605,119.423168
Sunday,Night,gunung bawakaraeng,ujung pandang,TK,R2,R2,-5.1354412,119.4177503
Monday,Afternoon,kerukunan timur 1,tamalanrea,TM,R2,NOV,-5.1396032,119.5097252
Tuesday,Evening,salodong,biringkanaya,TK,R4,R2,-5.0751774,119.4830507
Tuesday,Night,sungai saddang,makassar,TK,R4,R2,-5.146825,119.4249085
Tuesday,Morning,urip sumuharjo,panakkukang,TL,R4,R2,-5.1348243,119.4316818
Tuesday,Afternoon,ujung bor,manggala,TL,R4,R2,-5.1655997,119.5073543
Sunday,Morning,kartini,ujung pandang,TL,R2,NOV,-5.136049,119.413662
Tuesday,Afternoon,urip sumuharjo,panakkukang,TL,R4,R2,-5.1348243,119.4316818
Wednesday,Morning,cendrawasih,mariso,TK,R2,R2,-5.155219,119.4137008
Wednesday,Morning,perintis kemerdekaan,tamalanrea,TM,R2,NOV,-5.1268846,119.5022473
Wednesday,Morning,dg. regge,tallo,TL,R4,R2,-5.1249038,119.4325008
Tuesday,Evening,andi mappaodang,tamalate,TL,R2,R2,-5.1732205,119.4158686
Thursday,Morning,urip sumuharjo,panakkukang,TL,R2,NOV,-5.1348243,119.4316818
Friday,Morning,veteran utara,makassar,TM,R2,NOV,-5.1457033,119.4248691
Friday,Night,metro tanjung bunga,mariso,OC,R2,NOV,-5.1523252,119.4054678
Friday,Morning,borong raya,manggala,TK,R2,R2,-5.1620883,119.4635886
Friday,Afternoon,inspeksi pam,makassar,TL,R2,NOV,-5.1501163,119.4756964
Thursday,Morning,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1268846,119.5022473
Friday,Evening,urip sumuharjo,panakkukang,TK,R4,R4,-5.1348243,119.4316818
Sunday,Evening,pettarani,panakkukang,OC,R2,NOV,-5.1366409,119.4400406
Sunday,Afternoon,cendrawasih,mariso,TL,R2,R2,-5.155219,119.4137008
